alpha.YIZ,beta.YIZ,gamma.YIZ,delta.YIZ,sigma.YIZ.0,gamma.sigma.YIZ.Fz,gamma.sigma.YIZ.D,alpha.XIZ,beta.XIZ,gamma.XIZ,delta.XIZ,sigma.XIZ.0,gamma.sigma.XIZ.Fz,gamma.sigma.XIZ.D,rho.XYIZ.0,gamma.rho.XYIZ.Fz,gamma.rho.XYIZ.D,Z.knee,l.knee,beta.YIZ.knee,delta.YIZ.knee,sigma.YIZ.0.knee,pi.1.,mu.Z.0,gamma.mu.Z.Fz,gamma.mu.Z.D,sigma.Z.0,gamma.sigma.Z.Fz,gamma.sigma.Z.D,mu.Z.min.0,gamma.mu.Z.min.Fz,gamma.mu.Z.min.D,sigma.Z.min.0,gamma.sigma.Z.min.Fz,gamma.sigma.Z.min.D
-0.02661644819577199,0.9547100528318575,0.0,0.0,0.22194411954150137,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9547100528318575,0.0,0.22194411954150137,1.0,1.2006834322993483,0.0,0.0,0.5316908079756523,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.021378994858913335,1.019378332242571,0.0,0.0,0.21178517206055578,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.019378332242571,0.0,0.21178517206055578,1.0,1.1563921916463415,0.0,0.0,0.6343090190459305,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.009268862854393572,1.0113777413719747,0.0,0.0,0.23346004600062364,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0113777413719747,0.0,0.23346004600062364,1.0,1.0386836896070217,0.0,0.0,0.5438492303846059,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.0278916270811094,0.9859881486355558,0.0,0.0,0.25166312044746847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9859881486355558,0.0,0.25166312044746847,1.0,1.1161294898676084,0.0,0.0,0.5742582067816572,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.02484452173122731,0.9863015118025511,0.0,0.0,0.21687235452154394,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9863015118025511,0.0,0.21687235452154394,1.0,1.0938798970050023,0.0,0.0,0.5967122133974668,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.02878849777818509,1.00378184892888,0.0,0.0,0.29916399810943334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.00378184892888,0.0,0.29916399810943334,1.0,1.1625216770200542,0.0,0.0,0.5458880488643696,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.00817347020538585,0.9320676893670139,0.0,0.0,0.28796512932947554,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9320676893670139,0.0,0.28796512932947554,1.0,1.0348763122535802,0.0,0.0,0.6043787458936678,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.030364900363942748,0.9595109365278978,0.0,0.0,0.25936437908866306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9595109365278978,0.0,0.25936437908866306,1.0,1.1138207527893005,0.0,0.0,0.5756501937273596,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.039761899110642256,0.9775629497612135,0.0,0.0,0.250840424954232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9775629497612135,0.0,0.250840424954232,1.0,1.1466177476354809,0.0,0.0,0.5653122952508848,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.034368202496099245,0.9837384978952923,0.0,0.0,0.2680600070666045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9837384978952923,0.0,0.2680600070666045,1.0,1.1544619216236258,0.0,0.0,0.6714114343332409,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.038407160814214164,0.9897593804967314,0.0,0.0,0.2308829626210461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9897593804967314,0.0,0.2308829626210461,1.0,1.1514862946161604,0.0,0.0,0.6854726234869489,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.03502597572905334,0.9866631359800961,0.0,0.0,0.225095398850731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.9866631359800961,0.0,0.225095398850731,1.0,1.0619580007722798,0.0,0.0,0.6030479006226124,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.039360867618648876,1.014695855915161,0.0,0.0,0.21438598383455446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.014695855915161,0.0,0.21438598383455446,1.0,1.1256090108581713,0.0,0.0,0.5888634591574703,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.05168017255667022,1.0352862529019364,0.0,0.0,0.2367859010706865,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0352862529019364,0.0,0.2367859010706865,1.0,1.063194784370815,0.0,0.0,0.5251680650113819,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.022791707214958913,1.0350581856374204,0.0,0.0,0.2117783728377536,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0350581856374204,0.0,0.2117783728377536,1.0,1.0373517116054645,0.0,0.0,0.5492226899040257,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.010783620627219478,1.0293821379481314,0.0,0.0,0.2253113557812197,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0293821379481314,0.0,0.2253113557812197,1.0,1.0782383226583354,0.0,0.0,0.5678436235661977,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.07077827176923016,1.0327634107821582,0.0,0.0,0.1965687318907317,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0327634107821582,0.0,0.1965687318907317,1.0,1.0795160276369886,0.0,0.0,0.6170411811528133,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.08415695710777185,1.0426875798984425,0.0,0.0,0.1902180534927782,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0426875798984425,0.0,0.1902180534927782,1.0,1.146232113568424,0.0,0.0,0.5927880154154856,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.06453120108376767,1.0527602849092688,0.0,0.0,0.1676424339490288,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0527602849092688,0.0,0.1676424339490288,1.0,1.174404835554592,0.0,0.0,0.5625508717603372,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.06706285398972113,1.0519940627621476,0.0,0.0,0.17857715012662265,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0519940627621476,0.0,0.17857715012662265,1.0,1.1392933378165908,0.0,0.0,0.5395097066648471,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.08646278180105615,1.066909332634507,0.0,0.0,0.1835016581183684,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.066909332634507,0.0,0.1835016581183684,1.0,1.1591049054949525,0.0,0.0,0.5561473971311583,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.08832495621712391,1.0633997824689072,0.0,0.0,0.20918346959136835,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0633997824689072,0.0,0.20918346959136835,1.0,1.1374389495558637,0.0,0.0,0.5696759742200592,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.07855860266357194,1.0572701098370894,0.0,0.0,0.2339353442003408,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0572701098370894,0.0,0.2339353442003408,1.0,1.038037897035137,0.0,0.0,0.5690235010200664,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.06712608319306933,1.0567431092819386,0.0,0.0,0.24509203845773458,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0567431092819386,0.0,0.24509203845773458,1.0,1.122921410647198,0.0,0.0,0.568216776088528,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.051621227120587115,1.0525173168889939,0.0,0.0,0.23941314390497553,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0525173168889939,0.0,0.23941314390497553,1.0,1.0714583594432125,0.0,0.0,0.6290488761266146,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.0913833961806492,1.0306947519782705,0.0,0.0,0.2414227574938107,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0306947519782705,0.0,0.2414227574938107,1.0,0.9497506534779228,0.0,0.0,0.5713780346474693,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
-0.07763885089598133,1.0319752374112539,0.0,0.0,0.2550845677955197,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,1.0319752374112539,0.0,0.2550845677955197,1.0,1.0633861587202564,0.0,0.0,0.6160026780861662,0.0,0.0,-10000.0,0.0,0.0,0.0,0.0,0.0
